ID,Language_ID,Parameter_ID,Value
gmq-ogt-context,gmq-ogt,context,"The medieval Norse of Gotland, recorded chiefly in Guta lag and the Guta saga, distinct enough from Old East and West Norse to count as a third branch of the family. It reaches this library through the etymology desk's cognate lists."
gmq-ogt-provenance,gmq-ogt,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmq-osw-name,gmq-osw,name,Old Swedish
gmq-osw-family,gmq-osw,family,"Indo-European (Germanic, North)"
gmq-osw-context,gmq-osw,context,"The East Norse of medieval Sweden, from the runic centuries through the landscape laws and religious prose to about 1526. It is the stage through which modern Swedish words are traced to Old Norse. It reaches this library through the etymology desk's cognate lists."
gmq-osw-provenance,gmq-osw,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmq-pro-name,gmq-pro,name,Proto-Norse
gmq-pro-family,gmq-pro,family,North Germanic
gmq-pro-context,gmq-pro,context,"The runic language of Scandinavia ca. 150–800 CE, attested in Elder Futhark inscriptions; ancestor of Old Norse. Held: 822 documents (one inscription each, 822 passages) from Rundata, the Scandinavian Runic-text Database, plus 394 reflex edges anchoring the North Germanic etymology net."
gmq-pro-provenance,gmq-pro,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
gmq-scy-name,gmq-scy,name,Scanian
gmq-scy-family,gmq-scy,family,"Indo-European (Germanic, North)"
gmq-scy-context,gmq-scy,context,"The South Swedish dialect group of Scania, Blekinge and Halland, East Danish by medieval descent and Swedish by later history, with its own diphthongs and lexicon. Wiktionary records it as a distinct Norse descendant line. It reaches this library through the etymology desk's cognate lists."
gmq-scy-provenance,gmq-scy,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-name,gmw,name,West Germanic
gmw-context,gmw,context,"English, Frisian, Dutch, German and their stages — Middle Scots (gmw-msc), Central Franconian (gmw-cfr), Rhine Franconian (gmw-rfr); gmw-pro (Proto-West Germanic) is a held shelf."
gmw-provenance,gmw,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
gmw-cfr-name,gmw-cfr,name,Central Franconian
gmw-cfr-family,gmw-cfr,family,"Indo-European (Germanic, West)"
gmw-cfr-context,gmw-cfr,context,"The West Central German dialect band along the middle Rhine and Moselle — Ripuarian and Moselle Franconian, including Kölsch — sitting north of the High German sound shift's full application. Wiktionary uses this collective code for forms it cannot pin to a single local variety. It reaches this library through the etymology desk's cognate lists."
gmw-cfr-provenance,gmw-cfr,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-ecg-name,gmw-ecg,name,East Central German
gmw-ecg-family,gmw-ecg,family,"Indo-European (Germanic, West)"
gmw-ecg-context,gmw-ecg,context,"The German dialect group of Thuringia, Upper Saxony and Silesia, historically the base of the written standard that Luther's Bible carried across the German lands. Wiktionary uses the code for dialect forms from this band. It reaches this library through the etymology desk's cognate lists."
gmw-ecg-provenance,gmw-ecg,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-fin-name,gmw-fin,name,Fingallian
gmw-fin-family,gmw-fin,family,"Indo-European (Germanic, West)"
gmw-fin-context,gmw-fin,context,"The extinct English variety of Fingal, north of Dublin, which like Yola descended from the medieval English of the first Anglo-Norman settlers in Ireland and died out in the 19th century. It is known mainly from two burlesque poems and scattered glossary material. It reaches this library through the etymology desk's cognate lists."
gmw-fin-provenance,gmw-fin,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-gts-name,gmw-gts,name,Gottscheerish
gmw-gts-family,gmw-gts,family,"Indo-European (Germanic, West)"
gmw-gts-context,gmw-gts,context,"The Bavarian-derived German enclave dialect of Gottschee (Kočevje) in Slovenia, spoken by a community planted in the 14th century and dispersed after 1941. Its speakers are now scattered and elderly, making it one of the most endangered German varieties. It reaches this library through the etymology desk's cognate lists."
gmw-gts-provenance,gmw-gts,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-jdt-name,gmw-jdt,name,Jersey Dutch
gmw-jdt-family,gmw-jdt,family,"Indo-European (Germanic, West)"
gmw-jdt-context,gmw-jdt,context,"The colonial Dutch vernacular of Bergen and Passaic counties, New Jersey, spoken by descendants of 17th-century settlers until the early 20th century, with a distinct variety among the Ramapough community. It reaches this library through the etymology desk's cognate lists, mostly as a descendant of Dutch etyma."
gmw-jdt-provenance,gmw-jdt,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-msc-name,gmw-msc,name,Middle Scots
gmw-msc-family,gmw-msc,family,"Indo-European (Germanic, West)"
gmw-msc-context,gmw-msc,context,"The Scots of roughly 1450–1700, the court and literary language of Stewart Scotland used by Henryson, Dunbar and the Makars. Wiktionary treats it as an etymology-only stage between Early Scots and the modern language. It reaches this library through the etymology desk's cognate lists."
gmw-msc-provenance,gmw-msc,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-pro-name,gmw-pro,name,Proto-West Germanic
gmw-pro-family,gmw-pro,family,West Germanic < Germanic (reconstructed)
gmw-pro-context,gmw-pro,context,The Old English proto desk (~5.4k headwords) — the second intermediate shelf (Proto-Germanic → PWG → ang).
gmw-pro-provenance,gmw-pro,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
gmw-rfr-name,gmw-rfr,name,Rhine Franconian
gmw-rfr-family,gmw-rfr,family,"Indo-European (Germanic, West)"
gmw-rfr-context,gmw-rfr,context,"The West Central German dialect group of the Palatinate, Rhenish Hesse and northern Baden, ancestral also to Pennsylvania German across the Atlantic. Wiktionary uses this collective code for forms not assigned to a narrower variety. It reaches this library through the etymology desk's cognate lists."
gmw-rfr-provenance,gmw-rfr,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-stm-name,gmw-stm,name,Sathmar Swabian
gmw-stm-family,gmw-stm,family,"Indo-European (Germanic, West)"
gmw-stm-context,gmw-stm,context,"The Swabian settlement dialect of the Satu Mare region of Romania, brought by 18th-century emigrants from Upper Swabia and still spoken by a dwindling community. It reaches this library through the etymology desk's cognate lists."
gmw-stm-provenance,gmw-stm,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-tsx-name,gmw-tsx,name,Transylvanian Saxon
gmw-tsx-family,gmw-tsx,family,"Indo-European (Germanic, West)"
gmw-tsx-context,gmw-tsx,context,"The Moselle Franconian dialect of the Transylvanian Saxons, planted in Romania in the 12th century and maintained for eight hundred years in the towns around Sibiu and Brașov before mass emigration in the 20th. It reaches this library through the etymology desk's cognate lists."
gmw-tsx-provenance,gmw-tsx,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmw-zps-name,gmw-zps,name,Zipser German
gmw-zps-family,gmw-zps,family,"Indo-European (Germanic, West)"
gmw-zps-context,gmw-zps,context,"The German dialect of the Zips (Spiš) region of Slovakia and of later Zipser settlements in Romanian Maramureș and Bukovina, a medieval settler variety with Central German roots. It reaches this library through the etymology desk's cognate lists."
gmw-zps-provenance,gmw-zps,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmy-name,gmy,name,Mycenaean Greek
gmy-family,gmy,family,Hellenic
gmy-context,gmy,context,"Mycenaean Greek is the earliest attested form of Greek, written in the Linear B syllabary on clay tablets from the palace archives of Knossos, Pylos, Thebes and Mycenae, c. 1400-1200 BCE. The script was deciphered by Michael Ventris in 1952, revealing Bronze Age administrative records in a Greek centuries older than Homer. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Greek relatives."
gmy-provenance,gmy,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
goh-name,goh,name,Old High German
goh-family,goh,family,Germanic (West) < Indo-European
goh-context,goh,context,"The earliest written German, ~750–1050: the West Germanic dialects south of the Benrath line after the Second Consonant Shift set them apart, surviving in monastery glosses, the Tatian and Isidor translations, Otfrid's Gospel harmony and a few precious charms. The library holds it as vocabulary rather than running text: WOLD's Old High German shelf (1,258 loanword-scored entries) plus 15,897 reflex rows through the etymological databases, with IE-CoR's cognate variety below; the next stage of the language is shelved at gmh."
goh-provenance,goh,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
got-name,got,name,Gothic
got-family,got,family,East Germanic
got-context,got,context,"Wulfila's 4th-c. Bible — the oldest substantial Germanic text, gold-lemmatized in PROIEL; romanization bridges its script in etym."
got-provenance,got,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
grc-name,grc,name,Ancient Greek
grc-family,grc,family,Hellenic < Indo-European
grc-context,grc,context,"The library's largest language — Homer through the papyri to Swete's Septuagint and both Greek NTs, polytonic, ca. 8th c. BCE onward. LSJ (116k entries) is its reference shelf. grc-* codes are Wiktionary's dialect tags (Attic grc-att, Doric grc-dor, Koine grc-koi…)."
grc-provenance,grc,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
grc-Latn-name,grc-Latn,name,Greek (romanized)
grc-Latn-family,grc-Latn,family,Hellenic < Indo-European
grc-Latn-context,grc-Latn,context,Two papyri whose Greek survives only in Latin transliteration.
grc-Latn-provenance,grc-Latn,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
grk-name,grk,name,Hellenic
grk-context,grk,context,"Greek's own branch — the ancient dialects ride grc-* (Attic grc-att, Doric grc-dor, Koine grc-koi); grk-pro is Proto-Hellenic, grk-ita Italiot Greek."
grk-provenance,grk,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
grk-pro-name,grk-pro,name,Proto-Hellenic
grk-pro-family,grk-pro,family,Indo-European (Hellenic)
grk-pro-context,grk-pro,context,"The reconstructed ancestor of Greek — Mycenaean, the classical dialects and their descendants — standing between Proto-Indo-European and the earliest Linear B records of the second millennium BCE. It reaches this library through the etymology desk's cognate lists as a reconstruction node."
grk-pro-provenance,grk-pro,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gsw-name,gsw,name,Alemannic German
gsw-family,gsw,family,"Germanic (West, High German)"
gsw-context,gsw,context,"Alemannic German covers the High German dialects of Switzerland, Alsace, southwestern Germany and westernmost Austria — including all of Swiss German, which remains the true spoken language of German-speaking Switzerland while Standard German is reserved for writing. The wordlist filed here records Bernese, the Alemannic of the Swiss capital region. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Germanic relatives."
